Date,Open,High,Low,Close,Volume
2019-01-22,150.41179808276658,151.35245492263792,148.60675073117787,150.0897674560547,6272700
2019-01-23,149.6490558384394,150.89479058741495,147.90333583126989,149.90328979492188,4910400
2019-01-24,149.99648201801259,150.4456229918452,148.55584042661323,150.2422332763672,3860100
2019-01-25,152.3523545843087,153.27605860974802,151.36085398853345,152.8777618408203,4501800
2019-01-28,151.665947829891,152.53033802779098,150.3439468983233,152.39474487304688,4091400
2019-01-29,151.65748178451722,152.66592195383464,150.92020206951383,152.27610778808594,3686900
2019-01-30,152.93710378497195,156.09804322001142,152.35236962262118,154.38621520996094,5197700
2019-01-31,153.80994539160957,156.4963213985351,153.43707072778108,155.53024291992188,5138000
2019-02-01,155.95400067307094,156.90312701344095,154.93707774683494,156.24212646484375,4513100
2019-02-04,156.1828048424757,157.9878387451172,155.7929777256635,157.9878387451172,3050200
2019-02-05,158.37766792276068,158.46241688474137,156.51330713707014,157.95394897460938,4135200
2019-02-06,158.20816504936008,158.20816504936008,155.9793994960937,156.53871154785156,3072500
2019-02-07,155.7082437227866,156.70821423360977,154.6150415952584,155.98789978027344,2793400
2019-02-08,155.12346508782716,156.4200436634504,154.84380911041612,156.38613891601562,2792300
2019-02-11,156.77600853197552,157.1319308915322,154.86927329307312,155.01333618164062,3729200
2019-02-12,155.7929724812942,157.96241132563114,155.52179909118985,157.2166748046875,3773200
2019-02-13,157.8776921572496,159.8945856786879,157.55566159941728,159.66578674316406,4146900
2019-02-14,158.89457267222593,160.1064024063202,157.62341609084814,159.07254028320312,2600600
2019-02-15,160.9029970095237,163.23345075764271,160.20810479777515,163.03854370117188,4997900
2019-02-19,162.46233978605713,163.71654436771067,162.09793473295454,162.9877471923828,3828400
2019-02-20,163.03861980751893,163.04708953362402,161.95390004560858,162.5810089111328,3970100
2019-02-21,162.58097935554989,163.021637788739,161.53015161996933,162.55555725097656,3094200
2019-02-22,162.44533987873447,163.1656541878108,162.38601303105398,163.03854370117188,3321600
2019-02-25,163.34363742697198,163.91141920640098,160.97929163317812,160.99623107910156,6190700
2019-02-26,157.2759631170516,159.7165878848946,154.91161757135873,159.57252502441406,13635100
2019-02-27,159.23358466737423,159.7420526066427,155.25911156790414,155.64892578125,8766200
2019-02-28,155.58958950345104,156.93701253885615,155.17434031499053,156.89463806152344,8060600
2019-03-01,157.47091685666763,158.09801262719301,154.96249498193765,156.92007446289062,5481300
2019-03-04,157.79292353176515,157.82682828672188,154.31843613946563,155.76754760742188,5046800
2019-03-05,156.1319633595248,156.8776999185692,155.2929951833642,155.92857360839844,3691000
2019-03-06,156.377733115147,156.75060790411035,155.79299882617062,156.3099365234375,4460900
2019-03-07,156.25908101750605,156.4539881227838,153.87778247842732,154.6658935546875,4122200
2019-03-08,153.8015036208972,154.15742597445205,152.13204998318403,153.58116149902344,3867100
2019-03-11,154.2336774283337,155.25060018784012,153.5557246117046,154.60655212402344,3866200
2019-03-12,155.44552779855186,156.15738546205608,154.51335386702735,155.92857360839844,3777000
2019-03-13,156.44082565879546,156.90184395720397,154.59672641083392,154.64794921875,4528300
2019-03-14,154.76748635930656,155.1602162980369,154.10156374650867,155.04922485351562,4393000
2019-03-15,155.63829035205447,155.80050458490223,153.3075615501358,155.57852172851562,8059100
2019-03-18,155.83470783664998,156.64576628109796,155.66396074737165,156.59454345703125,4395800
2019-03-19,157.25189114525418,158.6435049516539,156.64572416006743,157.20066833496094,4437100
2019-03-20,157.3458489926428,159.75341295542222,156.6030789493781,158.88259887695312,4772600
2019-03-21,158.3703131854989,162.21218062126573,158.3703131854989,162.1865692138672,4755700
2019-03-22,161.623070665518,163.96234543788438,161.07667233519723,161.1449737548828,5173600
2019-03-25,161.14497002542382,163.6720703866486,160.94006577110932,161.93894958496094,3845900
2019-03-26,162.801262293205,164.08188471867717,161.1364557455242,161.64869689941406,4143300
2019-03-27,161.91331713909685,163.58666909728544,160.83759925486532,161.5718231201172,4298400
2019-03-28,162.1353401847124,163.4074167939684,161.4950289699599,162.26339721679688,3326100
2019-03-29,162.9378218641364,163.95377110899372,162.331655011809,163.82571411132812,4674100
2019-04-01,164.7649156020529,167.24931365391473,164.6453913419192,167.02734375,5381400
2019-04-02,166.90776230338534,166.90776230338534,165.6442186967249,165.8917999267578,2717800
